ID,Name,unknown_0,patternId,attachId,smallBaseMapId,mapIndex,variationId,unknown_0x12,modifier,
20,More Field Bosses,0,0,756,4664,0,1,0,0
22,More Field Bosses,0,0,761,4674,0,1,0,0
23,More Field Bosses,0,0,763,4663,0,3,0,0
24,More Field Bosses,0,0,755,4656,0,2,0,0
25,More Field Bosses,0,0,758,4654,0,4,0,0
26,More Field Bosses,0,0,754,4662,0,7,0,0
27,More Field Bosses,0,0,760,4659,0,3,0,0
28,More Field Bosses,0,0,762,4672,0,2,0,0
29,More Field Bosses,0,0,750,4655,0,1,0,0
30,More Field Bosses,0,0,759,4657,0,1,0,0
31,More Field Bosses,0,0,753,4651,0,5,0,0
115,More Field Bosses,0,1,756,4654,0,4,0,0
117,More Field Bosses,0,1,763,4668,0,3,0,0
118,More Field Bosses,0,1,750,4674,0,1,0,0
119,More Field Bosses,0,1,753,4666,0,1,0,0
120,More Field Bosses,0,1,761,4663,0,3,0,0
121,More Field Bosses,0,1,762,4659,0,1,0,0
122,More Field Bosses,0,1,758,4665,0,1,0,0
123,More Field Bosses,0,1,755,4657,0,2,0,0
124,More Field Bosses,0,1,760,4655,0,2,0,0
125,More Field Bosses,0,1,754,4671,0,2,0,0
126,More Field Bosses,0,1,759,4669,0,2,0,0
163,More Field Bosses,0,2,756,4664,0,2,0,0
165,More Field Bosses,0,2,754,4658,0,2,0,0
166,More Field Bosses,0,2,763,4663,0,4,0,0
167,More Field Bosses,0,2,755,4668,0,1,0,0
168,More Field Bosses,0,2,760,4652,0,4,0,0
169,More Field Bosses,0,2,759,4677,0,2,0,0
170,More Field Bosses,0,2,753,4655,0,3,0,0
171,More Field Bosses,0,2,750,4672,0,2,0,0
172,More Field Bosses,0,2,762,4665,0,3,0,0
173,More Field Bosses,0,2,761,4671,0,3,0,0
174,More Field Bosses,0,2,758,4651,0,4,0,0
210,More Field Bosses,0,3,756,4674,0,4,0,0
212,More Field Bosses,0,3,754,4652,0,2,0,0
213,More Field Bosses,0,3,761,4653,0,3,0,0
214,More Field Bosses,0,3,763,4654,0,3,0,0
215,More Field Bosses,0,3,750,4663,0,3,0,0
216,More Field Bosses,0,3,759,4665,0,3,0,0
217,More Field Bosses,0,3,762,4655,0,1,0,0
218,More Field Bosses,0,3,755,4671,0,1,0,0
219,More Field Bosses,0,3,760,4551,0,1,0,0
220,More Field Bosses,0,3,753,4657,0,1,0,0
221,More Field Bosses,0,3,758,4669,0,3,0,0
257,More Field Bosses,0,4,756,4668,0,2,0,0
259,More Field Bosses,0,4,762,4664,0,2,0,0
260,More Field Bosses,0,4,754,4658,0,3,0,0
261,More Field Bosses,0,4,759,4652,0,1,0,0
262,More Field Bosses,0,4,750,4667,0,2,0,0
263,More Field Bosses,0,4,760,4657,0,2,0,0
264,More Field Bosses,0,4,753,4665,0,2,0,0
265,More Field Bosses,0,4,763,4671,0,2,0,0
266,More Field Bosses,0,4,758,4672,0,4,0,0
267,More Field Bosses,0,4,755,4655,0,1,0,0
268,More Field Bosses,0,4,761,4659,0,3,0,0
352,More Field Bosses,0,5,756,4654,0,1,0,0
354,More Field Bosses,0,5,759,4666,0,1,0,0
355,More Field Bosses,0,5,755,4658,0,4,0,0
356,More Field Bosses,0,5,762,4674,0,4,0,0
357,More Field Bosses,0,5,754,4668,0,2,0,0
358,More Field Bosses,0,5,758,4672,0,1,0,0
359,More Field Bosses,0,5,753,4651,0,6,0,0
360,More Field Bosses,0,5,761,4659,0,1,0,0
361,More Field Bosses,0,5,763,4657,0,2,0,0
362,More Field Bosses,0,5,750,4669,0,1,0,0
363,More Field Bosses,0,5,760,4662,0,2,0,0
447,More Field Bosses,0,6,756,4653,0,3,0,0
449,More Field Bosses,0,6,753,4674,0,1,0,0
450,More Field Bosses,0,6,758,4664,0,3,0,0
451,More Field Bosses,0,6,761,4666,0,3,0,0
452,More Field Bosses,0,6,762,4658,0,3,0,0
453,More Field Bosses,0,6,755,4657,0,3,0,0
454,More Field Bosses,0,6,754,4669,0,1,0,0
455,More Field Bosses,0,6,759,4672,0,4,0,0
456,More Field Bosses,0,6,760,4655,0,1,0,0
457,More Field Bosses,0,6,763,4662,0,6,0,0
458,More Field Bosses,0,6,750,4659,0,1,0,0
494,More Field Bosses,0,7,756,4654,0,3,0,0
496,More Field Bosses,0,7,760,4674,0,4,0,0
497,More Field Bosses,0,7,759,4664,0,2,0,0
498,More Field Bosses,0,7,754,4668,0,3,0,0
499,More Field Bosses,0,7,763,4658,0,4,0,0
500,More Field Bosses,0,7,761,4551,0,2,0,0
501,More Field Bosses,0,7,750,4657,0,1,0,0
502,More Field Bosses,0,7,762,4671,0,4,0,0
503,More Field Bosses,0,7,753,4672,0,2,0,0
504,More Field Bosses,0,7,758,4655,0,3,0,0
