ID,Name,unknown_0,patternId,attachId,smallBaseMapId,mapIndex,variationId,unknown_0x12,modifier
2908,,0,57,750,4651,0,1,0,0
3380,,0,69,750,4651,0,2,0,0
5157,,0,109,750,4651,0,6,0,0
5199,,0,110,750,4651,0,1,0,0
8115,,0,172,750,4651,0,3,0,0
10341,,0,221,750,4651,0,6,0,0
11887,,0,255,750,4651,0,1,0,0
12695,,0,274,750,4651,0,4,0,0
12923,,0,280,750,4651,0,6,0,0
14151,,0,306,750,4651,0,1,0,0
31,,0,0,753,4651,0,5,0,0
359,,0,5,753,4651,0,6,0,0
552,,0,8,753,4651,0,1,0,0
974,,0,15,753,4651,0,2,0,0
1614,,0,30,753,4651,0,6,0,0
1868,,0,35,753,4651,0,1,0,0
3991,,0,83,753,4651,0,3,0,0
4085,,0,85,753,4651,0,6,0,0
4190,,0,87,753,4651,0,1,0,0
5474,,0,116,753,4651,0,4,0,0
5676,,0,121,753,4651,0,6,0,0
8217,,0,174,753,4651,0,1,0,0
10991,,0,236,753,4651,0,5,0,0
11391,,0,245,753,4651,0,6,0,0
12774,,0,276,753,4651,0,1,0,0
1706,,0,32,754,4651,0,2,0,0
2177,,0,42,754,4651,0,6,0,0
2571,,0,50,754,4651,0,1,0,0
2661,,0,52,754,4651,0,3,0,0
2860,,0,56,754,4651,0,6,0,0
3563,,0,73,754,4651,0,1,0,0
5728,,0,122,754,4651,0,4,0,0
5829,,0,124,754,4651,0,6,0,0
7183,,0,152,754,4651,0,1,0,0
10068,,0,215,754,4651,0,5,0,0
10700,,0,230,754,4651,0,6,0,0
10799,,0,232,754,4651,0,1,0,0
13020,,0,282,754,4651,0,2,0,0
13159,,0,285,754,4651,0,6,0,0
13372,,0,289,754,4651,0,1,0,0
14356,,0,311,754,4651,0,3,0,0
14696,,0,319,754,4651,0,6,0,0
3015,,0,59,755,4651,0,1,0,0
3204,,0,64,755,4651,0,4,0,0
3465,,0,71,755,4651,0,6,0,0
5093,,0,107,755,4651,0,1,0,0
5243,,0,111,755,4651,0,5,0,0
5339,,0,113,755,4651,0,6,0,0
6258,,0,133,755,4651,0,1,0,0
6795,,0,142,755,4651,0,2,0,0
7824,,0,166,755,4651,0,6,0,0
8647,,0,184,755,4651,0,1,0,0
8714,,0,186,755,4651,0,3,0,0
11346,,0,244,755,4651,0,6,0,0
12044,,0,258,755,4651,0,1,0,0
174,,0,2,758,4651,0,4,0,0
834,,0,12,758,4651,0,6,0,0
2276,,0,44,758,4651,0,1,0,0
2617,,0,51,758,4651,0,5,0,0
2764,,0,54,758,4651,0,6,0,0
4038,,0,84,758,4651,0,1,0,0
7136,,0,151,758,4651,0,2,0,0
7279,,0,154,758,4651,0,6,0,0
7875,,0,167,758,4651,0,1,0,0
9326,,0,201,758,4651,0,3,0,0
9687,,0,207,758,4651,0,6,0,0
11298,,0,243,758,4651,0,1,0,0
11449,,0,246,758,4651,0,4,0,0
12649,,0,273,758,4651,0,6,0,0
12882,,0,279,758,4651,0,1,0,0
14627,,0,317,758,4651,0,5,0,0
14663,,0,318,758,4651,0,6,0,0
3652,,0,75,759,4651,0,1,0,0
5787,,0,123,759,4651,0,2,0,0
6443,,0,136,759,4651,0,6,0,0
7641,,0,162,759,4651,0,1,0,0
7688,,0,163,759,4651,0,3,0,0
9630,,0,206,759,4651,0,6,0,0
11589,,0,249,759,4651,0,1,0,0
11838,,0,254,759,4651,0,4,0,0
642,,0,9,760,4651,0,6,0,0
1964,,0,37,760,4651,0,1,0,0
6022,,0,128,760,4651,0,5,0,0
6161,,0,131,760,4651,0,6,0,0
6594,,0,138,760,4651,0,1,0,0
6641,,0,139,760,4651,0,2,0,0
7352,,0,156,760,4651,0,6,0,0
7451,,0,158,760,4651,0,1,0,0
7976,,0,169,760,4651,0,3,0,0
8264,,0,175,760,4651,0,6,0,0
8412,,0,178,760,4651,0,1,0,0
9874,,0,211,760,4651,0,4,0,0
10745,,0,231,760,4651,0,6,0,0
11943,,0,256,760,4651,0,1,0,0
13517,,0,292,760,4651,0,5,0,0
14310,,0,310,760,4651,0,6,0,0
1829,,0,34,761,4651,0,1,0,0
3096,,0,61,761,4651,0,2,0,0
3128,,0,62,761,4651,0,6,0,0
4626,,0,96,761,4651,0,1,0,0
6760,,0,141,761,4651,0,3,0,0
7537,,0,160,761,4651,0,6,0,0
7732,,0,164,761,4651,0,1,0,0
9000,,0,193,761,4651,0,4,0,0
9043,,0,194,761,4651,0,6,0,0
9204,,0,198,761,4651,0,1,0,0
13886,,0,299,761,4651,0,5,0,0
14404,,0,312,761,4651,0,6,0,0
14547,,0,315,761,4651,0,1,0,0
789,,0,11,762,4651,0,2,0,0
1163,,0,19,762,4651,0,6,0,0
1475,,0,27,762,4651,0,1,0,0
1574,,0,29,762,4651,0,3,0,0
3685,,0,76,762,4651,0,6,0,0
3800,,0,79,762,4651,0,1,0,0
6114,,0,130,762,4651,0,4,0,0
6303,,0,134,762,4651,0,6,0,0
6350,,0,135,762,4651,0,1,0,0
6938,,0,146,762,4651,0,5,0,0
8321,,0,176,762,4651,0,6,0,0
8682,,0,185,762,4651,0,1,0,0
9125,,0,196,762,4651,0,2,0,0
9278,,0,200,762,4651,0,6,0,0
9823,,0,210,762,4651,0,1,0,0
9967,,0,213,762,4651,0,3,0,0
10168,,0,217,762,4651,0,6,0,0
12355,,0,266,762,4651,0,1,0,0
12733,,0,275,762,4651,0,4,0,0
13467,,0,291,762,4651,0,6,0,0
14115,,0,305,762,4651,0,1,0,0
14259,,0,309,762,4651,0,5,0,0
1021,,0,16,763,4651,0,6,0,0
2002,,0,38,763,4651,0,1,0,0
2962,,0,58,763,4651,0,2,0,0
4976,,0,104,763,4651,0,6,0,0
6972,,0,147,763,4651,0,1,0,0
8464,,0,179,763,4651,0,3,0,0
8747,,0,187,763,4651,0,6,0,0
11989,,0,257,763,4651,0,1,0,0
13111,,0,284,763,4651,0,4,0,0
13731,,0,296,763,4651,0,6,0,0
101766,,0,1037,1155,4651,0,1,0,0
102220,,0,1047,1155,4651,0,5,0,0
105501,,0,1117,1155,4651,0,6,0,0
108736,,0,1190,1155,4651,0,1,0,0
108480,,0,1184,1156,4651,0,2,0,0
101265,,0,1026,1157,4651,0,6,0,0
101727,,0,1036,1157,4651,0,1,0,0
101855,,0,1039,1157,4651,0,3,0,0
102307,,0,1049,1157,4651,0,6,0,0
102723,,0,1058,1157,4651,0,1,0,0
103177,,0,1068,1157,4651,0,4,0,0
105543,,0,1118,1157,4651,0,6,0,0
108816,,0,1192,1157,4651,0,1,0,0
100320,,0,1006,1158,4651,0,5,0,0
103044,,0,1065,1158,4651,0,6,0,0
105631,,0,1120,1158,4651,0,1,0,0
106131,,0,1132,1158,4651,0,2,0,0
108397,,0,1182,1158,4651,0,6,0,0
100836,,0,1017,1159,4651,0,1,0,0
101307,,0,1027,1159,4651,0,3,0,0
100365,,0,1007,1160,4651,0,6,0,0
101813,,0,1038,1160,4651,0,1,0,0
102633,,0,1056,1160,4651,0,4,0,0
102674,,0,1057,1160,4651,0,6,0,0
103217,,0,1069,1160,4651,0,1,0,0
103552,,0,1076,1160,4651,0,5,0,0
106175,,0,1133,1160,4651,0,6,0,0
108226,,0,1178,1160,4651,0,1,0,0
108268,,0,1179,1160,4651,0,2,0,0
108603,,0,1187,1160,4651,0,6,0,0
101398,,0,1029,1161,4651,0,1,0,0
102763,,0,1059,1161,4651,0,3,0,0
103085,,0,1066,1161,4651,0,6,0,0
105676,,0,1121,1161,4651,0,1,0,0
100920,,0,1019,1162,4651,0,4,0,0
103593,,0,1077,1162,4651,0,6,0,0
108558,,0,1186,1162,4651,0,1,0,0
100751,,0,1015,1163,4651,0,5,0,0
101224,,0,1025,1163,4651,0,6,0,0
101350,,0,1028,1163,4651,0,1,0,0
102143,,0,1045,1163,4651,0,2,0,0
108185,,0,1177,1163,4651,0,6,0,0
103672,,0,1079,1164,4651,0,1,0,0
105756,,0,1123,1164,4651,0,3,0,0
108312,,0,1180,1164,4651,0,6,0,0
102181,,0,1046,1165,4651,0,1,0,0
105882,,0,1126,1165,4651,0,4,0,0
108858,,0,1193,1165,4651,0,6,0,0
102056,,0,1043,2750,4651,0,1,0,0
104615,,0,1097,2750,4651,0,5,0,0
106818,,0,1147,2750,4651,0,6,0,0
107431,,0,1159,2750,4651,0,1,0,0
107568,,0,1162,2750,4651,0,2,0,0
101176,,0,1024,2753,4651,0,6,0,0
101964,,0,1041,2753,4651,0,1,0,0
106310,,0,1136,2753,4651,0,3,0,0
100668,,0,1013,2754,4651,0,6,0,0
102105,,0,1044,2754,4651,0,1,0,0
103268,,0,1070,2754,4651,0,4,0,0
104568,,0,1096,2754,4651,0,6,0,0
105058,,0,1107,2754,4651,0,1,0,0
105383,,0,1114,2754,4651,0,5,0,0
108977,,0,1196,2754,4651,0,6,0,0
101450,,0,1030,2755,4651,0,1,0,0
101906,,0,1040,2755,4651,0,2,0,0
103012,,0,1064,2755,4651,0,6,0,0
103472,,0,1074,2755,4651,0,1,0,0
105023,,0,1106,2755,4651,0,3,0,0
105333,,0,1113,2755,4651,0,6,0,0
107524,,0,1161,2755,4651,0,1,0,0
101649,,0,1034,2758,4651,0,4,0,0
102007,,0,1042,2758,4651,0,6,0,0
102965,,0,1063,2758,4651,0,1,0,0
106524,,0,1141,2758,4651,0,5,0,0
105289,,0,1112,2759,4651,0,6,0,0
106349,,0,1137,2759,4651,0,1,0,0
107385,,0,1158,2759,4651,0,2,0,0
109093,,0,1199,2759,4651,0,6,0,0
100550,,0,1011,2760,4651,0,1,0,0
100610,,0,1012,2760,4651,0,3,0,0
102915,,0,1062,2760,4651,0,6,0,0
107231,,0,1155,2760,4651,0,1,0,0
107957,,0,1172,2760,4651,0,4,0,0
102356,,0,1050,2761,4651,0,6,0,0
102810,,0,1060,2761,4651,0,1,0,0
104455,,0,1094,2761,4651,0,5,0,0
107859,,0,1170,2761,4651,0,6,0,0
100240,,0,1004,2762,4651,0,1,0,0
103892,,0,1083,2762,4651,0,2,0,0
104199,,0,1089,2762,4651,0,6,0,0
107336,,0,1157,2762,4651,0,1,0,0
100134,,0,1002,2763,4651,0,3,0,0
100711,,0,1014,2763,4651,0,6,0,0
102504,,0,1053,2763,4651,0,1,0,0
103372,,0,1072,2763,4651,0,4,0,0
104089,,0,1087,2763,4651,0,6,0,0
104409,,0,1093,2763,4651,0,1,0,0
104947,,0,1104,2763,4651,0,5,0,0
106384,,0,1138,2763,4651,0,6,0,0
107128,,0,1153,2763,4651,0,1,0,0
107175,,0,1154,2763,4651,0,3,0,0
109023,,0,1197,2763,4651,0,6,0,0
